0.00517803 0.0103347 0.0154505 0.0205073 0.0254885 0.0303789 0.0351649 0.0398338 0.0443747 0.0487777 0.0530342 0.0571371 0.0610806 0.0648603 0.0684733 0.0719185 0.0751966 0.0783104 0.0812649 0.0840683 0.0867319 0.0892716 0.0917084 0.0940703 0.0963947 0.0987318 0.101149 0.103741 0.10664 0.11004 0.114235 0.119692 0.127203 0.138204 0.155567 0.185688 0.244729 0.37918 0.740228 0.874365 0.932782 0.961975 0.978115 0.987615 0.993362 0.996817 0.998799 0.999811 1.00019 1.00019 
0.0103319 0.0206213 0.0308291 0.0409192 0.0508585 0.0606168 0.0701666 0.079483 0.0885436 0.097329 0.105822 0.114008 0.121876 0.129416 0.136623 0.143495 0.150032 0.15624 0.162128 0.167712 0.173015 0.178066 0.182906 0.187589 0.192186 0.196792 0.201535 0.20659 0.212199 0.218712 0.226643 0.236779 0.250375 0.269522 0.297865 0.341965 0.413576 0.531314 0.70694 0.824051 0.894415 0.936659 0.962559 0.978702 0.98877 0.994897 0.998396 1.00012 1.00068 1.00051 
0.0154391 0.0308149 0.0460687 0.0611468 0.0759997 0.0905821 0.104853 0.118775 0.132314 0.145442 0.158132 0.170364 0.182118 0.193382 0.204147 0.214408 0.224167 0.23343 0.242212 0.250534 0.258427 0.265934 0.273113 0.280038 0.286809 0.293557 0.300454 0.307735 0.315717 0.324843 0.335741 0.349322 0.366936 0.390613 0.42341 0.469767 0.535375 0.624681 0.731334 0.8197 0.883437 0.927013 0.956146 0.975317 0.987636 0.995197 0.999431 1.00135 1.0017 1.00109 
0.0204788 0.0408737 0.061107 0.0811074 0.100809 0.120152 0.139081 0.157548 0.175507 0.192919 0.20975 0.22597 0.241557 0.256491 0.27076 0.284357 0.297283 0.309546 0.321163 0.33216 0.342575 0.352461 0.361887 0.370945 0.379754 0.38847 0.397294 0.406493 0.416421 0.427553 0.440533 0.456241 0.475879 0.501072 0.533928 0.576905 0.632118 0.699406 0.772788 0.838825 0.891547 0.930819 0.958793 0.977979 0.990552 0.99822 1.00229 1.00377 1.00345 1.002 
0.0254315 0.0507589 0.0758859 0.100724 0.125191 0.149212 0.17272 0.195652 0.217954 0.239575 0.260473 0.280611 0.299959 0.318494 0.336198 0.353062 0.369086 0.384278 0.398655 0.412248 0.425098 0.437265 0.448827 0.459885 0.470571 0.481052 0.491542 0.50232 0.51374 0.526261 0.540478 0.55715 0.577234 0.601892 0.632411 0.66996 0.715014 0.766349 0.819988 0.869761 0.911707 0.944631 0.969052 0.986202 0.99745 1.00406 1.0071 1.00749 1.00599 1.00329 
0.0302793 0.0604347 0.0903517 0.119925 0.149056 0.177657 0.205646 0.232949 0.2595 0.285239 0.310115 0.334084 0.357109 0.37916 0.400216 0.420266 0.439305 0.45734 0.47439 0.490485 0.505669 0.520006 0.533577 0.546488 0.558874 0.570905 0.582794 0.594811 0.607288 0.620639 0.635374 0.652103 0.671533 0.694433 0.72152 0.753252 0.789463 0.828923 0.869095 0.906684 0.939173 0.965363 0.985143 0.999039 1.00786 1.01249 1.01377 1.01248 1.00933 1.00497 
0.0350053 0.0698676 0.104455 0.138644 0.172323 0.205388 0.237745 0.269309 0.300001 0.329753 0.358505 0.386204 0.412807 0.438278 0.462591 0.48573 0.507689 0.528471 0.548094 0.566587 0.583995 0.600381 0.615825 0.630434 0.64434 0.657707 0.670737 0.683679 0.696828 0.710541 0.725232 0.741368 0.759447 0.779948 0.803236 0.829413 0.858121 0.888359 0.918485 0.946549 0.970924 0.990651 1.00543 1.01544 1.02114 1.02314 1.0221 1.01864 1.01341 1.007 
0.0395943 0.079027 0.118148 0.15682 0.194915 0.232315 0.268913 0.304613 0.339325 0.372972 0.405483 0.436799 0.466869 0.495651 0.523115 0.549238 0.574011 0.597434 0.619522 0.640302 0.659815 0.678122 0.695302 0.711454 0.726704 0.741205 0.755141 0.768731 0.782232 0.795937 0.810173 0.825284 0.841611 0.859437 0.878926 0.90002 0.922345 0.945142 0.967316 0.987636 1.00503 1.01877 1.02856 1.03441 1.03661 1.03556 1.03177 1.02577 1.01811 1.00933 
0.044032 0.0878846 0.131391 0.174398 0.216762 0.258354 0.299054 0.338752 0.37735 0.41476 0.450904 0.485712 0.519128 0.551104 0.581601 0.610594 0.638067 0.664018 0.688455 0.711403 0.7329 0.753 0.771777 0.789323 0.805752 0.821202 0.835836 0.849843 0.863439 0.876861 0.890358 0.904183 0.918559 0.933649 0.949508 0.966019 0.982855 0.999456 1.01507 1.0289 1.04021 1.04849 1.05347 1.05512 1.05363 1.04928 1.04248 1.03366 1.02331 1.01192 
0.0483056 0.0964144 0.144144 0.191325 0.237802 0.28343 0.328078 0.371626 0.413965 0.454997 0.494634 0.532801 0.569433 0.604473 0.637879 0.669619 0.699672 0.728031 0.754698 0.779694 0.803051 0.824817 0.845057 0.863854 0.88131 0.897546 0.912703 0.926941 0.940436 0.953378 0.965956 0.97835 0.990708 1.00312 1.01559 1.02798 1.04004 1.05136 1.06141 1.06966 1.07561 1.0789 1.07933 1.07687 1.07165 1.06388 1.05391 1.04209 1.02887 1.01468 
